route_operator,first,second
"ФОП Кузькін В.О., адреса: вул. Г.Сталінграда, 14, м.Олександрія, Кіровоградська область, 28005, АД 076697",Кременчук,Олександрій
"ДП КП ""АТАСС"", адреса: вул. Ентузіастів, буд. 6, м.Славутич, Київська область, 07100, АЕ 421280",Славутич,Київ
"ТДВ ""Оріон-Авто"", адреса: вул. Казарського, 4, м.Миколаїв, 54007, АВ 562984",Миколаїв,Кривий ріг
"ПП ""АТП Дружба"", адреса:вул. Коновальця, буд.101, м.Болехів, Івано-Франківська область, 77202, АВ 562003",Болехів,Моршин
"ТОВ ВКФ  ""Ігрек"", адреса: вул. Караваєва, 11, м.Дніпропетровськ, 49000, АВ 616034",Дніпропетровськ,Запоріжжя
"ТОВ ""Турист"", адреса: Гагарінське плато, буд.5, м.Одеса, AД 75984",Донецьк,Одеса
"ФОП Боклащук М.Б., адреса:вул.22 Січня, буд.12, с.Котиківка, Городенківський район, Івано-Франківська область, 78106, А",Городенка,Тернопіль
"ДП ""Техавтосервіс"" ВАТ ""Чернігівавтосервіс"", адреса: вул.Борисенка, 39, м.Чернігів, 14039, АД 075986",Чернігів,Київ
"ТОВ ""Бердичівське АТП 11837"", адреса: вул.Чапаєва, 4, м.Бердичів, Житомирська область, 13312, АГ 592009",Бердичів,Юрівка
"ФОП Кузькін В.О., адреса: вул. Г.Сталінграда, 14, м.Олександрія, Кіровоградська область, 28005, АД 076697",Кременчук,Олександрій
"ТДВ ""Денисівка"", адреса: вул.М.Тореза, 64-Б, м.Чернівці, 58007, АГ 587966",Чернівці,Снятин
"ТОВ ""М+М"", адреса:вул.Леніна, 188/2, м.Канів, Черкаська область, АЕ 421902",Канів,Київ
"ПП ""АТП Дружба"", адреса:вул. Коновальця, буд.101, м.Болехів, Івано-Франківська область, 77202, АВ 562003",Болехів,Моршин
"ТОВ ""Автотранссервіс"", адреса: Лоцманський узвіз, 8, м.Дніпропетровськ, 49005, АГ 588977",Дніпропетровськ,Харків
"ФОП Яцишин М.М. адреса: пр-т Молоді, 8-А, кв.708, м.Луцьк, 43024, АД 062842",Луцьк,Рівне
"ДП ""Техавтосервіс"" ВАТ ""Чернігівавтосервіс"", адреса: вул.Борисенка, 39, м.Чернігів, 14039, АД 075986",Чернігів,Київ
"ТОВ ""Бердичівське АТП 11837"", адреса: вул.Чапаєва, 4, м.Бердичів, Житомирська область, 13312, АГ 592009",Бердичів,Юрівка
"ПАТ ""Антрацитівське АТП-10918"", адреса:вул. Петровського, 75-А, м.Антрацит, Луганська область, 94613, АВ 545194 ",Свердловськ,Донецьк
"ПП ""Мережа-Авто"", адреса: вул.Миколаївська, 129-А, м.Богуслав, Київська область, АЕ 268353",Боярка,Київ
"ПП ""АТП Дружба"", адреса:вул. Коновальця, буд.101, м.Болехів, Івано-Франківська область, 77202, АВ 562003",Болехів,Моршин
"ПрАТ ""Маріуполь-Авто"", адреса: вул.Макара Мазая, буд.6, м.Маріуполь, Донецька область, АГ 588928",Ялта,Маріуполь
"ТДВ ""Денисівка"", адреса: вул.М.Тореза, 64-Б, м.Чернівці, 58007, АГ 587966",Дніпропетровськ,Чернівці
"ФОП Яцишин М.М. адреса: пр-т Молоді, 8-А, кв.708, м.Луцьк, 43024, АД 062842",Луцьк,Рівне
"ТОВ ""АВТОСОЮЗ-ЗГУРІВКА"", адреса:вул. Шевченка, буд. 28, смт.Згурівка, Згурівський район, Київська область, АГ 503503",Згурівка,Київ
"ФОП Ващенко Н.В., адреса: вул.Ковпака, 89, кв.23, м.Суми, АА 784957",Прилуки,Суми
"ТДВ ""Денисівка"", адреса: вул.М.Тореза, 64-Б, м.Чернівці, 58007, АГ 587966",Чернівці,Снятин
"ТОВ ""Бердичівське АТП 11837"", адреса: вул.Чапаєва, 4, м.Бердичів, Житомирська область, 13312, АГ 592009",Бердичів,Ступник
"ТОВ ""Автолюкс-Черкаси-Плюс"", адреса: вул.Хоменка, кв. 9, м.Черкаси, 18036, АЕ 266758",Черкаси,Київ
"ПП ""АТП Дружба"", адреса:вул. Коновальця, буд.101, м.Болехів, Івано-Франківська область, 77202, АВ 562003",Болехів,Моршин
"ТОВ ""Крим-Авто-Експрес"", адреса:вул.Московська, 8, офіс 3, м.Ялта, АР Крим, АД 038495 ",Ялта,Одеса
"ТОВ ""АВТОСОЮЗ-ЗГУРІВКА"", адреса:вул. Шевченка, буд. 28, смт.Згурівка, Згурівський район, Київська область, АГ 503503",Згурівка,Київ
"ФОП Ващенко Н.В., адреса: вул.Ковпака, 89, кв.23, м.Суми, АА 784957",Суми,Прилуки
"ТОВ ""Автотранссервіс"", адреса: Лоцманський узвіз, 8, м.Дніпропетровськ, АГ 588977",Кривий Ріг,Вінниця
"ТДВ ""Денисівка"", адреса: вул.М.Тореза, 64-Б, м.Чернівці, 58007, АГ 587966",Чернівці,Снятин
"ФОП Олійник В.М., адреса: вул. Огієнка, буд. 26, м.Волочиськ, Хмельницька область, АГ 587274",Волочиськ,Підволочиськ
"ТОВ ""Бердичівське АТП 11837"", адреса: вул.Чапаєва, 4, м.Бердичів, Житомирська область, 13312, АГ 592009",Бердичів,Ступник
"ПП ""АТП Дружба"", адреса:вул. Коновальця, буд.101, м.Болехів, Івано-Франківська область, 77202, АВ 562003",Болехів,Моршин
"ФОП Шемедюк Р.М. , адреса: вул. Центральна, 46, с.Лище, Луцький район, Волинська область, ",Луцьк,Ужгород
