,0,place_short,Lat,Long
87,Первомайське,Первомайське,48.09152,37.606989399999996
88,Первомайське,Первомайське,48.04512510000001,30.8884315
89,Костянтинівка,Костянтинівка,48.52394289999999,37.7075811
90,Костянтинівка,Костянтинівка,47.805246600000004,31.261382899999997
91,Костянтинівка,Костянтинівка,49.9495459,35.119737
92,Шумськ,Шумськ,50.122577,26.1149716
93,Лугини,Лугини,51.08367519999999,28.4004787
94,Ізмаїл,Ізмаїл,45.3501944,28.8501919
95,Охтирка,Охтирка,50.315096200000006,34.9005644
96,Черкаси,Черкаси,49.444433000000004,32.059767
97,Очаків,Очаків,46.61876669999999,31.538794199999998
98,Макіївка,Макіївка,48.0459557,37.9666901
99,Голованівськ,Голованівськ,48.3843573,30.4626205
100,Новодністровськ,Новодністровськ,48.5780854,27.441388800000002
101,Короп,Короп,51.5649604,32.954958500000004
102,Гайворон,Гайворон,48.336713700000004,29.868635100000002
103,Коломия,Коломия,48.5304917,25.0412055
104,Золотоноша,Золотоноша,49.6617919,32.0477111
105,Хуст,Хуст,48.17346329999999,23.297247600000002
106,Овруч,Овруч,51.3268314,28.8028968
107,Южне,Южне,46.624021299999995,31.1000648
108,Краматорськ,Краматорськ,48.738966999999995,37.58435
109,Павлоград,Павлоград,48.52944779999999,35.903257399999994
110,Бучач,Бучач,49.064831,25.3817159
111,Розівка,Розівка,47.39030899999999,37.071022799999994
112,Слов'янськ,Слов'янськ,48.8532,37.6053001
113,Олександрія,Олександрія,48.66327039999999,33.0967875
114,Біла Церква,Біла Церква,49.7967977,30.1310853
115,Жовті Води,Жовті Води,48.34411979999999,33.524480100000005
116,Шостка,Шостка,51.8757044,33.4966152
117,Оріхів,Оріхів,47.5658802,35.7876745
118,Моршин,Моршин,49.155711700000005,23.8674568
119,Нова Каховка,Нова Каховка,46.75152509999999,33.3678207
120,Іллінці,Іллінці,49.10400070000001,29.209273800000002
